5-fold-cv-standalone-test
/data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/acrobat.csv /data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/1/213_HER2_train.csv
Intermediate training files already exist : temp_train_resnet50_finetune2. Skipping creation.
Creating intermediate testing files : temp_test_resnet50_finetune2
Starting CV fold 0.

 Epoch [1/50] train loss: 4.7465 test loss: 1.4266, average Acc: 0.4271, 
	AUC: [class 0] 0.5655	[class 1] 0.4779	[class 2] 0.9463	[class 3] 0.3658
	Best model saved at: /data3/shcho/bci_ai/weights/20241104/fold_0_285.pth
	Best thresholds -> [class 0] 0.5741	[class 1] 0.4729	[class 2] 0.6343	[class 3] 0.9714

 Training bag [1/381] bag loss: 4.7446
 Training bag [11/381] bag loss: 4.7283
 Training bag [21/381] bag loss: 4.7210
 Training bag [31/381] bag loss: 4.7290
 Training bag [41/381] bag loss: 4.7523
 Training bag [51/381] bag loss: 4.7211
 Training bag [61/381] bag loss: 4.7130
 Training bag [71/381] bag loss: 4.7279
 Training bag [81/381] bag loss: 4.7166
 Training bag [91/381] bag loss: 4.8146
 Training bag [101/381] bag loss: 4.7052
 Training bag [111/381] bag loss: 4.7068
 Training bag [121/381] bag loss: 4.7415
 Training bag [131/381] bag loss: 4.7203
 Training bag [141/381] bag loss: 4.7189
 Training bag [151/381] bag loss: 4.7262
 Training bag [161/381] bag loss: 4.7090
 Training bag [171/381] bag loss: 4.7122
 Training bag [181/381] bag loss: 4.7090
 Training bag [191/381] bag loss: 4.7179
 Training bag [201/381] bag loss: 4.7269
 Training bag [211/381] bag loss: 4.7316
 Training bag [221/381] bag loss: 4.7040
 Training bag [231/381] bag loss: 4.7353
 Training bag [241/381] bag loss: 4.7150
 Training bag [251/381] bag loss: 4.7265
 Training bag [261/381] bag loss: 4.7187
 Training bag [271/381] bag loss: 4.7134
 Training bag [281/381] bag loss: 4.7155
 Training bag [291/381] bag loss: 4.7297
 Training bag [301/381] bag loss: 4.7341
 Training bag [311/381] bag loss: 4.7094
 Training bag [321/381] bag loss: 4.7458
 Training bag [331/381] bag loss: 4.7228
 Training bag [341/381] bag loss: 4.7082
 Training bag [351/381] bag loss: 4.7431
 Training bag [361/381] bag loss: 4.7045
 Training bag [371/381] bag loss: 4.7103
 Training bag [381/381] bag loss: 4.7105
 Testing bag [1/96] bag loss: 1.2825
 Testing bag [2/96] bag loss: 1.0127
 Testing bag [3/96] bag loss: 1.2174
 Testing bag [4/96] bag loss: 1.4264
 Testing bag [5/96] bag loss: 0.8372
 Testing bag [6/96] bag loss: 1.0594
 Testing bag [7/96] bag loss: 2.1727
 Testing bag [8/96] bag loss: 1.4703
 Testing bag [9/96] bag loss: 1.7629
 Testing bag [10/96] bag loss: 2.1565
 Testing bag [11/96] bag loss: 1.2995
 Testing bag [12/96] bag loss: 3.4717
 Testing bag [13/96] bag loss: 1.4179
 Testing bag [14/96] bag loss: 1.3459
 Testing bag [15/96] bag loss: 1.2545
 Testing bag [16/96] bag loss: 1.4071
 Testing bag [17/96] bag loss: 2.3764
 Testing bag [18/96] bag loss: 1.6628
 Testing bag [19/96] bag loss: 1.3484
 Testing bag [20/96] bag loss: 2.3072
 Testing bag [21/96] bag loss: 1.4671
 Testing bag [22/96] bag loss: 1.8960
 Testing bag [23/96] bag loss: 2.1174
 Testing bag [24/96] bag loss: 1.7223
 Testing bag [25/96] bag loss: 0.9407
 Testing bag [26/96] bag loss: 1.1233
 Testing bag [27/96] bag loss: 1.5125
 Testing bag [28/96] bag loss: 1.8200
 Testing bag [29/96] bag loss: 1.3807
 Testing bag [30/96] bag loss: 1.7235
 Testing bag [31/96] bag loss: 1.2572
 Testing bag [32/96] bag loss: 1.3525
 Testing bag [33/96] bag loss: 1.0339
 Testing bag [34/96] bag loss: 1.2640
 Testing bag [35/96] bag loss: 1.0028
 Testing bag [36/96] bag loss: 2.4377
 Testing bag [37/96] bag loss: 1.1952
 Testing bag [38/96] bag loss: 1.2539
 Testing bag [39/96] bag loss: 1.3264
 Testing bag [40/96] bag loss: 1.4721
 Testing bag [41/96] bag loss: 1.2303
